"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2021-01-06 18:45:00,40,,,,,,,,,,,51,45
2021-01-06 19:15:00,43,,,48,,,,,,,,50,45
2021-01-06 19:45:00,43,,,,,,,,,,,,
2021-01-06 20:30:00,43,,58,,78,,,,,,,,
2021-01-06 21:30:00,42,,,,,,,,,,,,50
2021-01-06 22:30:00,41,69,57,,,73,,,,,,,
2021-01-06 23:30:00,40,,,,,,,,,,,,
2021-01-07 00:15:00,40,69,57,,,,,,,,,,
2021-01-07 00:30:00,40,,,,,,,,,,,,
2021-01-07 01:30:00,39,,,,,,,,,,,,51
2021-01-07 01:45:00,39,,,50,,,,,,,,59,50
2021-01-07 02:00:00,39,69,57,,80,,,,,,,59,
2021-01-07 02:30:00,39,,,,,,,,,,,59,
2021-01-07 03:30:00,39,72,57,50,,,,,,,,59,51
2021-01-07 03:45:00,39,72,57,50,,,,,,,,,
2021-01-07 04:15:00,38,,,,,79,,,,,,,
2021-01-07 04:45:00,38,75,57,51,,82,,,,,,58,
2021-01-07 05:15:00,38,,,,,87,,,,,,58,50
2021-01-07 05:45:00,38,73,56,,,84,,,,,,58,50
2021-01-07 06:00:00,38,,56,,,86,,,,,,,
2021-01-07 06:30:00,38,73,,50,,86,,,,,,,
2021-01-07 07:00:00,38,,,,,87,,,,,,,
2021-01-07 08:00:00,36,,,38,,,,,,,,41,37
2021-01-07 08:45:00,37,,51,,,76,,,,,,,
2021-01-07 09:00:00,38,70,,43,,76,,,,,,44,40
2021-01-07 09:15:00,38,70,51,43,,78,,,,,,44,40
2021-01-07 09:45:00,38,,52,,,76,,,,,,,
2021-01-07 10:15:00,42,67,,,,,,,,,,,
2021-01-07 10:30:00,42,,53,45,,,,,,,,46,
2021-01-07 11:15:00,42,65,55,46,,61,,,,,,47,
2021-01-07 11:30:00,42,63,,46,,57,,,,,,,42
2021-01-07 12:00:00,42,63,,46,,59,,,,,,49,
